sep=,
"country \ year","Most recent","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1962","1961","1960"
"American Samoa","74.6","","","74.6","","","74.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","16.4","","","","","16.4","16.4","","","15.1","20.8","20.8","","","19.3","19.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","11.0","","11.0","12.4","12.4","","","","","","","9.1","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","28.9","","","","","","","","","","","28.9","28.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","10.8","","","","","","10.8","","","10.7","","","","9.0","","","","","","","","","","","","","15.1","15.1","15.1","15.1","15.1","15.1","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","21.7","","","","","","","","21.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","11.1","","","","","","","11.1","11.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Northern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Southern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","12.4","","","","","","","","","12.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon 1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","23.1","","","","","","23.1","15.3","15.3","14.9","14.9","","","13.4","13.4","","","","14.4","14.4","15.0","15.0","15.0","15.0","15.0","7.3","","","","10.8","","13.6","13.6","","","","","","10.6","10.6","10.6","","","","","","",""
"Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","21.9","","","","","","","21.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","2.9","","","","","","","","2.9","","","","","","6.0","6.0","6.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","13.7","","","13.7","","13.7","13.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","22.3","","","","","","","22.3","","","","","","23.1","23.1","23.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cuba","11.8","","","","","","","","11.8","11.8","","","","","","","","","","","","","","","","","","","9.5","","","","","","","","","","","","","","","","","","",""
"Cyprus","12.3","","","","","","","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
