sep=,
"country \ year","Most recent","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1972","1971","1970","1966"
"American Samoa","18.9","","","18.9","","","18.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","39.0","","","","","","","","","","39.0","39.0","","","38.0","38.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","31.0","","31.0","35.3","35.3","","","","","","","37.0","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","32.4","","","","","","","","","","","32.4","32.4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","30.2","","","","","","30.2","","","","","","","31.0","","","","","","","","","","","","","41.2","41.2","41.2","41.2","41.2","41.2","","","","","","","","",""
"Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","29.5","","","","","","","29.5","29.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Northern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Southern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","33.6","","","","","","","","","33.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon 1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","36.1","","","","","","36.1","33.3","","31.8","31.8","","","36.7","36.7","","","","34.8","34.8","31.1","31.1","31.1","31.1","31.1","29.7","","","","33.2","","34.7","34.7","","","","","29.1","29.1","29.1",""
"Chile","37.8","","","","","","","37.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","16.0","","","","","","","","16.0","","","","","","27.1","27.1","27.1","27.1","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","32.3","","","32.3","","32.3","32.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","41.3","","","","","","","","","","","","","41.3","41.3","41.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cuba","30.6","","","","","","","","30.6","30.6","","","","","","","","","","","","","","","","","","","26.9","","","","","","","","","","","",""
"Cyprus","33.7","","","","","","","33.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","36.7","","","","","","","","36.7","","","36.9","","","","","","35.9","","","","","","","","","","","","","","","","","","","","","","",""
"Czechoslovakia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
