sep=,
"country \ year","Most recent","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1982","1980","1979","1978","1977","1976","1974","1973","1972","1971","1966","1962","1961","1960"
"American Samoa","0.1","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","1.0","","","","","","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","2.0","","2.0","2.6","2.6","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","3.2","","","","","","","","","3.2","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","3.8","","","","","","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","4.0","","","","","","","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Northern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Southern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","3.9","","","","","","","","","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon 1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","2.6","","","","","","","2.6","","2.8","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","0.8","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","8.0","","","","","","","","","","","","","","8.0","8.0","8.0","8.0","9.5","","","","","","","","","","","","","","","","","","",""
"Colombia","3.9","","","","","3.9","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","0.2","","","","","","","","","","","","","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","",""
"Cuba","7.3","","","","","","","","","","","","","","","","","","","","","","","","7.3","","","","","","","","","","","","",""
"Cyprus","4.3","","","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","2.4","","","","","","","","2.4","","","2.2","","","","","","2.5","","","","","","","","","","","","","","","","","","","",""
"Czechoslovakia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","2.2","","","","2.2","2.2","","","","","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dutch New Guinea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt 1961-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","4.6","","","","","","","","","","","","","4.6","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia PDR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federal Republic of Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Malaya","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Rhodesia and Nyasaland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of West Indies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiji","6.1","","","","","","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","2.4","","","","","","","2.4","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","4.9","","","","4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"German Democratic Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ghana","16.4","","","","","","","","","","","","","","","","","","","","","16.4","16.4","16.4","","","","","","","","","","","","","",""
"Gilbert and Ellice islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hong-Kong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","2.0","","","","","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","2.3","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","32.9","","","","","","","","","","","","32.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia 1960-1962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","5.7","","","","","5.7","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","0.8","","","","","","","","","","","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","3.4","","","","","3.4","3.4","3.3","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jamaica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","11.5","","","","","","","","","","","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","11.5","","","","","","","","","","","","","","",""
"Jordan","3.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jordan 1960-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kiribati","0.5","","","","0.5","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","2.5","","","","","","","","","","2.5","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","3.7","","","","","","","","","","","","","","","","","3.7","","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","13.5","","","","","","","","","","","","","","","","13.5","","","","","","","","","","","","","","","","","","","","",""
"Latvia","3.5","","","","3.5","","4.5","","2.6","","2.3","","3.6","1.9","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","2.4","","","","","","2.4","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","19.2","","","","","19.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malawi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","9.6","","","","","","","9.6","9.6","","","","","","12.3","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia 1963-1964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","2.6","","","2.6","2.6","","","2.3","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshall Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mayotte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moldova, Republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","4.9","","","","","4.9","3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Montserrat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","5.3","","","","","","","","","","","5.3","5.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","1.3","","","1.3","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria 1960-1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Borneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","5.0","5.0","5.0","","","4.0","","","27.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied Palestinian Territory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","31.2","","","","","","","","","","","","","","","","31.2","31.2","31.2","31.2","31.2","","","","","","","","","","","","","","","","",""
"Palau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Panama","1.0","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"People's Democratic Republic of Yemen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","12.3","","","","","","","12.3","","","","","","","","","","13.9","","","","","","","","","","","","","","","","","","","",""
"Poland","2.2","","","","","","","","","2.2","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","2.2","","","","","2.2","2.2","2.2","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Korea","4.7","","","4.7","","","","","","4.6","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","3.0","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ruanda-Urundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Kitts and Nevis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Lucia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Vincent and the Grenadines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint-Kitts-Nevis-Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sarawak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","7.0","","","","","","","","","","","","","","","","","","7.0","7.0","7.0","7.0","7.0","7.0","","","","","","","","","","","","","",""
"Senegal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegambia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia and Montenegro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Singapore","9.2","","","","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","4.7","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","8.6","","","","","","","","","","","","8.6","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Vietnam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","1.8","","","1.8","1.8","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","3.5","","","3.5","","","","","3.9","","3.6","","","4.1","","","","","4.7","","","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thailand","19.2","","","","","","","19.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trust Territories of the Pacific Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","3.5","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkmenistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turks and Caicos Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Union of Soviet Socialist Republics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","5.1","","","","","","","","5.1","2.1","2.1","0.3","","","","","","","","","","1.1","","","2.5","","","","","","","","3.6","","5.1","","",""
"United States of America","2.4","","","","","","","","2.4","2.4","2.1","2.4","","","","1.4","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","","3.1","3.1","3.1","3.1","3.1","3.7","3.7","3.7","3.7","","4.0","4.0","4.0"
"Uzbekistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vanuatu","1.9","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viet Nam","26.5","","","","","","","","","","26.5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vietnam, Democratic republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen 1960-1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yugoslavia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yugoslavia 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zambia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","9.9","","","","","9.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
