sep=,
Country Name,Country Code,Series Name,Series Code,2010,2014
Afghanistan,AFG,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,351.434.593.200.684,396.748.008.728.027
Afghanistan,AFG,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,702.937.088.012.695,70.747.200.012.207
Afghanistan,AFG,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,124.637.321.472.168,130.687.881.469.727
Afghanistan,AFG,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,853.393.096.923.828,917.578.735.351.563
Afghanistan,AFG,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,367.329.001.426.697
Afghanistan,AFG,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,132.865.695.953.369
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,569.940.728.793.286,633.947.864.294.639
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,550.583.822.732.263,-171.461.102.327.001
Afghanistan,AFG,Population* female (% of total),SP.POP.TOTL.FE.ZS,486.176.717.023.803,484.580.889.811.546
Afghanistan,AFG,Population* total,SP.POP.TOTL,27962207,31627506
Albania,ALB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,879.684.066.772.461,926.062.164.306.641
Albania,ALB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,888.213.195.800.781,100.025.848.388.672
Albania,ALB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,10.023.983.001.709,113.698.623.657.227
Albania,ALB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,976.955.184.936.523,111.167.259.216.309
Albania,ALB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,523.833.694.458.008,738.269.577.026.367
Albania,ALB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,374.955.101.013.184,524.296.112.060.547
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,409.435.883.191.918,456.856.882.650.826
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,422.616.090.713.089,190.547.093.552.725
Albania,ALB,Population* female (% of total),SP.POP.TOTL.FE.ZS,495.927.644.222.734,502.597.523.044.106
Albania,ALB,Population* total,SP.POP.TOTL,2913021,2893654
Algeria,DZA,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,988.510.818.481.445,..
Algeria,DZA,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,955.539.016.723.633,..
Algeria,DZA,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,119.412.803.649.902,122.266.510.009.766
Algeria,DZA,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,111.348.159.790.039,115.122.581.481.934
Algeria,DZA,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,353.361.396.789.551,419.318.809.509.277
Algeria,DZA,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,245.007.705.688.477,274.673.004.150.391
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,447.348.644.568.115,54.840.668.056.148
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,177.625.878.496.099,180.528.098.926.762
Algeria,DZA,Population* female (% of total),SP.POP.TOTL.FE.ZS,496.301.256.746.037,496.776.392.784.836
Algeria,DZA,Population* total,SP.POP.TOTL,36036159,38934334
American Samoa,ASM,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
American Samoa,ASM,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
American Samoa,ASM,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
American Samoa,ASM,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
American Samoa,ASM,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
