Country Name,Country Code,Series Name,2010,2014
Afghanistan,AFG,School enrollment. secondary. female (% gross),35.14345932,39.67480087
Afghanistan,AFG,School enrollment. secondary. male (% gross),70.2937088,70.74720001
Afghanistan,AFG,School enrollment. primary. male (% gross),124.6373215,130.6878815
Afghanistan,AFG,School enrollment. primary. female (% gross),85.33930969,91.75787354
Afghanistan,AFG,School enrollment. tertiary. female (% gross),..,3.673290014
Afghanistan,AFG,School enrollment. tertiary. male (% gross),..,13.2865696
Afghanistan,AFG,GDP per capita (current US$),569.9407288,633.9478643
Afghanistan,AFG,GDP per capita growth (annual %),5.505838227,-1.714611023
Afghanistan,AFG,Population. female (% of total),48.6176717,48.45808898
Afghanistan,AFG,Population. total,27962207,31627506
Albania,ALB,School enrollment. secondary. female (% gross),87.96840668,92.60621643
Albania,ALB,School enrollment. secondary. male (% gross),88.82131958,100.0258484
Albania,ALB,School enrollment. primary. male (% gross),100.23983,113.6986237
Albania,ALB,School enrollment. primary. female (% gross),97.69551849,111.1672592
Albania,ALB,School enrollment. tertiary. female (% gross),52.38336945,73.8269577
Albania,ALB,School enrollment. tertiary. male (% gross),37.4955101,52.42961121
Albania,ALB,GDP per capita (current US$),4094.358832,4568.568827
Albania,ALB,GDP per capita growth (annual %),4.226160907,1.905470936
Albania,ALB,Population. female (% of total),49.59276442,50.2597523
Albania,ALB,Population. total,2913021,2893654
Algeria,DZA,School enrollment. secondary. female (% gross),98.85108185,..
Algeria,DZA,School enrollment. secondary. male (% gross),95.55390167,..
Algeria,DZA,School enrollment. primary. male (% gross),119.4128036,122.26651
Algeria,DZA,School enrollment. primary. female (% gross),111.3481598,115.1225815
Algeria,DZA,School enrollment. tertiary. female (% gross),35.33613968,41.93188095
Algeria,DZA,School enrollment. tertiary. male (% gross),24.50077057,27.46730042
Algeria,DZA,GDP per capita (current US$),4473.486446,5484.066806
Algeria,DZA,GDP per capita growth (annual %),1.776258785,1.805280989
Algeria,DZA,Population. female (% of total),49.63012567,49.67763928
Algeria,DZA,Population. total,36036159,38934334
American Samoa,ASM,School enrollment. secondary. female (% gross),..,..
American Samoa,ASM,School enrollment. secondary. male (% gross),..,..
American Samoa,ASM,School enrollment. primary. male (% gross),..,..
American Samoa,ASM,School enrollment. primary. female (% gross),..,..
American Samoa,ASM,School enrollment. tertiary. female (% gross),..,..
American Samoa,ASM,School enrollment. tertiary. male (% gross),..,..
American Samoa,ASM,GDP per capita (current US$),10353.00884,11635.45838
American Samoa,ASM,GDP per capita growth (annual %),..,..
American Samoa,ASM,Population. female (% of total),..,..
American Samoa,ASM,Population. total,55636,55434
Andorra,ADO,School enrollment. secondary. female (% gross),..,..
Andorra,ADO,School enrollment. secondary. male (% gross),..,..
